			time	P1	Y1	R1	P2	Y2	R2	P3	Y3	R3	P4	Y4	R4	P5	Y5	R5	Xpos	Ypos	Zpos	Xangle	Yangle	Zangle	Xled	Yled	Zled	fingers	goalIter	goalNum	goalSlot	OccupiedSlot	AgainstBorder	VelX	VelY	VelZ	VelXang	VelYang	VelZAng	grasp	fingers
0	0.0016602	0.0521761	0.300116	0.0013529	0.00141276	0.00285673	0.00280421	-8.17117E-05	-0.00593611	0.000848072	0.00149038	0.00064739	0.00120407	0.00132783	-0.00840084	0.026065	-0.0170048	-0.00705955	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.310073	0.00117427	0.00150096	0.00339223	0.00270444	7.48471E-05	-0.00593	0.000848072	0.00149038	0.00064739	0.00120407	0.00132783	-0.00840084	0.0266712	-0.0173897	-0.00708442	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.320072	0.00117427	0.00150096	0.00339223	0.00264396	0.000150719	-0.0059118	0.000848072	0.00149038	0.00064739	0.00115875	0.00150196	-0.00872981	0.0266712	-0.0173897	-0.00708442	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.330105	0.00114006	0.00153678	0.0035105	0.00264396	0.000150719	-0.0059118	0.000848072	0.00149038	0.00064739	0.00116053	0.00150979	-0.00883827	0.0282735	-0.0185546	-0.007426	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.340101	0.00114006	0.00153678	0.0035105	0.00256802	0.000295038	-0.00586591	0.000848072	0.00149038	0.00064739	0.00117436	0.00151657	-0.00891559	0.0287679	-0.0189321	-0.00753996	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.350081	0.00113093	0.00162246	0.00373797	0.00253916	0.000351297	-0.00584446	0.000848072	0.00149038	0.00064739	0.00116196	0.00151208	-0.00903739	0.0292208	-0.0193034	-0.00766818	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.360061	0.00113093	0.00162246	0.00373797	0.00253916	0.000351297	-0.00584446	0.000893213	0.00152148	0.000812805	0.00121291	0.00150231	-0.00918615	0.0292208	-0.0193034	-0.00766818	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.370076	0.00113093	0.00162246	0.00373797	0.00252187	0.000450196	-0.00574349	0.000893213	0.00152148	0.000812805	0.00121291	0.00150231	-0.00918615	0.0296622	-0.0196689	-0.00781758	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.380097	0.00113093	0.00162246	0.00373797	0.00252187	0.000450196	-0.00574349	0.000893213	0.00152148	0.000812805	0.0013138	0.00145825	-0.00951723	0.0305478	-0.0204433	-0.00799165	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.390074	0.00129876	0.00167227	0.00452208	0.00252187	0.000450196	-0.00574349	0.00103294	0.00163914	0.000784207	0.00129711	0.00144884	-0.00966471	0.0310857	-0.0208446	-0.00797096	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
